%
(G-code output for Bezier Surface generated from given 4x4 matrix)
(Generated by HARISHKUMAR LAXMIKANT GAJAKOSH)
(As a part of COMPUTER INTEGRATED MANUFACTURING Project)
(Guided By Prof RAKESH LINGAM
(Creation date: 22-May-2022 21:59:42)
(Spindle Speed	= 12000 RPM)
(Tool	= 1)
N1 G90
N2 G21
N3 	G00 	X1.00000 	Y5.00000 	Z2.50000 	F100
N4 	G01 	X1.00000 	Y5.00000 	Z1.00000
N88 	G01 	X10.48750 	Y5.28079 	Z1.90398
N89 	G01 	X9.91443 	Y5.28079 	Z1.90319
N90 	G01 	X9.34300 	Y5.28079 	Z1.89747
N91 	G01 	X8.77325 	Y5.28079 	Z1.88655
N92 	G01 	X8.20522 	Y5.28079 	Z1.87015
N93 	G01 	X7.63898 	Y5.28079 	Z1.84796
N94 	G01 	X7.07455 	Y5.28079 	Z1.81972
N95 	G01 	X6.51200 	Y5.28079 	Z1.78514
N96 	G01 	X5.95137 	Y5.28079 	Z1.74394
N97 	G01 	X5.39270 	Y5.28079 	Z1.69582
N98 	G01 	X4.83606 	Y5.28079 	Z1.64051
N99 	G01 	X4.28147 	Y5.28079 	Z1.57772
N100 	G01 	X3.72900 	Y5.28079 	Z1.50718
N101 	G01 	X3.17869 	Y5.28079 	Z1.42858
N102 	G01 	X2.63058 	Y5.28079 	Z1.34166
N103 	G01 	X2.08474 	Y5.28079 	Z1.24612
N104 	G01 	X1.54119 	Y5.28079 	Z1.14169
N105 	G01 	X1.00000 	Y5.28079 	Z1.02808

N106 	G01 	X1.00000 	Y5.56158 	Z1.05614
N107 	G01 	X1.54119 	Y5.56158 	Z1.16809
N108 	G01 	X2.08474 	Y5.56158 	Z1.27099
N109 	G01 	X2.63058 	Y5.56158 	Z1.36512
N110 	G01 	X3.17869 	Y5.56158 	Z1.45076
N111 	G01 	X3.72900 	Y5.56158 	Z1.52819
N112 	G01 	X4.28147 	Y5.56158 	Z1.59769
N113 	G01 	X4.83606 	Y5.56158 	Z1.65954
N114 	G01 	X5.39270 	Y5.56158 	Z1.71401
N115 	G01 	X5.95137 	Y5.56158 	Z1.76140
N116 	G01 	X6.51200 	Y5.56158 	Z1.80198
N117 	G01 	X7.07455 	Y5.56158 	Z1.83602
N118 	G01 	X7.63898 	Y5.56158 	Z1.86382
N119 	G01 	X8.20522 	Y5.56158 	Z1.88565
N120 	G01 	X8.77325 	Y5.56158 	Z1.90178
N121 	G01 	X9.34300 	Y5.56158 	Z1.91251
N122 	G01 	X9.91443 	Y5.56158 	Z1.91810
N123 	G01 	X10.48750 	Y5.56158 	Z1.91885
N124 	G01 	X11.06214 	Y5.56158 	Z1.91502
N125 	G01 	X11.63833 	Y5.56158 	Z1.90690
N126 	G01 	X12.21600 	Y5.56158 	Z1.89478
N127 	G01 	X12.79511 	Y5.56158 	Z1.87892
N128 	G01 	X13.37562 	Y5.56158 	Z1.85962
N129 	G01 	X13.95746 	Y5.56158 	Z1.83714
N130 	G01 	X14.54061 	Y5.56158 	Z1.81177
N131 	G01 	X15.12500 	Y5.56158 	Z1.78380
N132 	G01 	X15.71059 	Y5.56158 	Z1.75349
N133 	G01 	X16.29734 	Y5.56158 	Z1.72113
N134 	G01 	X16.88518 	Y5.56158 	Z1.68700
N135 	G01 	X17.47409 	Y5.56158 	Z1.65139
N136 	G01 	X18.06400 	Y5.56158 	Z1.61456
N137 	G01 	X18.65487 	Y5.56158 	Z1.57680
N138 	G01 	X19.24666 	Y5.56158 	Z1.53839
N139 	G01 	X19.83930 	Y5.56158 	Z1.49962
N140 	G01 	X20.43277 	Y5.56158 	Z1.46075
N141 	G01 	X21.02700 	Y5.56158 	Z1.42207
N142 	G01 	X21.62195 	Y5.56158 	Z1.38386
N143 	G01 	X22.21758 	Y5.56158 	Z1.34640
N144 	G01 	X22.81382 	Y5.56158 	Z1.30998
N145 	G01 	X23.41065 	Y5.56158 	Z1.27486
N146 	G01 	X24.00800 	Y5.56158 	Z1.24133
N147 	G01 	X24.60583 	Y5.56158 	Z1.20967
N148 	G01 	X25.20410 	Y5.56158 	Z1.18017
N149 	G01 	X25.80274 	Y5.56158 	Z1.15309
N150 	G01 	X26.40173 	Y5.56158 	Z1.12872
N151 	G01 	X27.00100 	Y5.56158 	Z1.10734
N152 	G01 	X27.60051 	Y5.56158 	Z1.08924
N153 	G01 	X28.20022 	Y5.56158 	Z1.07468
N154 	G01 	X28.80006 	Y5.56158 	Z1.06395
N155 	G01 	X29.40001 	Y5.56158 	Z1.05733
N156 	G01 	X30.00000 	Y5.56158 	Z1.05511

N157 	G01 	X30.00000 	Y5.84237 	Z1.08187
N158 	G01 	X29.40001 	Y5.84237 	Z1.08399
N159 	G01 	X28.80006 	Y5.84237 	Z1.09045
N160 	G01 	X28.20022 	Y5.84237 	Z1.10096
N161 	G01 	X27.60051 	Y5.84237 	Z1.11525
N162 	G01 	X27.00100 	Y5.84237 	Z1.13305
N163 	G01 	X26.40173 	Y5.84237 	Z1.15407
N164 	G01 	X25.80274 	Y5.84237 	Z1.17805
N165 	G01 	X25.20410 	Y5.84237 	Z1.20470
N166 	G01 	X24.60583 	Y5.84237 	Z1.23375
N167 	G01 	X24.00800 	Y5.84237 	Z1.26493
N168 	G01 	X23.41065 	Y5.84237 	Z1.29796
N169 	G01 	X22.81382 	Y5.84237 	Z1.33255
N170 	G01 	X22.21758 	Y5.84237 	Z1.36845
N171 	G01 	X21.62195 	Y5.84237 	Z1.40536
N172 	G01 	X21.02700 	Y5.84237 	Z1.44301
N173 	G01 	X20.43277 	Y5.84237 	Z1.48114
N174 	G01 	X19.83930 	Y5.84237 	Z1.51945
N175 	G01 	X19.24666 	Y5.84237 	Z1.55768
N176 	G01 	X18.65487 	Y5.84237 	Z1.59555
N177 	G01 	X18.06400 	Y5.84237 	Z1.63278
N178 	G01 	X17.47409 	Y5.84237 	Z1.66910
N179 	G01 	X16.88518 	Y5.84237 	Z1.70423
N180 	G01 	X16.29734 	Y5.84237 	Z1.73790
N181 	G01 	X15.71059 	Y5.84237 	Z1.76982
N182 	G01 	X15.12500 	Y5.84237 	Z1.79973
N183 	G01 	X14.54061 	Y5.84237 	Z1.82734
N184 	G01 	X13.95746 	Y5.84237 	Z1.85238
N185 	G01 	X13.37562 	Y5.84237 	Z1.87458
N186 	G01 	X12.79511 	Y5.84237 	Z1.89366
N187 	G01 	X12.21600 	Y5.84237 	Z1.90934
N188 	G01 	X11.63833 	Y5.84237 	Z1.92134
N189 	G01 	X11.06214 	Y5.84237 	Z1.92940
N190 	G01 	X10.48750 	Y5.84237 	Z1.93322
N191 	G01 	X9.91443 	Y5.84237 	Z1.93255
N192 	G01 	X9.34300 	Y5.84237 	Z1.92710
N193 	G01 	X8.77325 	Y5.84237 	Z1.91659
N194 	G01 	X8.20522 	Y5.84237 	Z1.90076
N195 	G01 	X7.63898 	Y5.84237 	Z1.87931
N196 	G01 	X7.07455 	Y5.84237 	Z1.85199
N197 	G01 	X6.51200 	Y5.84237 	Z1.81850
N198 	G01 	X5.95137 	Y5.84237 	Z1.77858
N199 	G01 	X5.39270 	Y5.84237 	Z1.73195
N200 	G01 	X4.83606 	Y5.84237 	Z1.67834
N201 	G01 	X4.28147 	Y5.84237 	Z1.61746
N202 	G01 	X3.72900 	Y5.84237 	Z1.54904
N203 	G01 	X3.17869 	Y5.84237 	Z1.47280
N204 	G01 	X2.63058 	Y5.84237 	Z1.38848
N205 	G01 	X2.08474 	Y5.84237 	Z1.29579
N206 	G01 	X1.54119 	Y5.84237 	Z1.19445
N207 	G01 	X1.00000 	Y5.84237 	Z1.08419

N208 	G01 	X1.00000 	Y6.12316 	Z1.11221
N209 	G01 	X1.54119 	Y6.12316 	Z1.22074
N210 	G01 	X2.08474 	Y6.12316 	Z1.32049
N211 	G01 	X2.63058 	Y6.12316 	Z1.41172
N212 	G01 	X3.17869 	Y6.12316 	Z1.49470
N213 	G01 	X3.72900 	Y6.12316 	Z1.56971
N214 	G01 	X4.28147 	Y6.12316 	Z1.63702
N215 	G01 	X4.83606 	Y6.12316 	Z1.69691
N216 	G01 	X5.39270 	Y6.12316 	Z1.74964
N217 	G01 	X5.95137 	Y6.12316 	Z1.79548
N218 	G01 	X6.51200 	Y6.12316 	Z1.83472
N219 	G01 	X7.07455 	Y6.12316 	Z1.86761
N220 	G01 	X7.63898 	Y6.12316 	Z1.89444
N221 	G01 	X8.20522 	Y6.12316 	Z1.91548
N222 	G01 	X8.77325 	Y6.12316 	Z1.93099
N223 	G01 	X9.34300 	Y6.12316 	Z1.94125
N224 	G01 	X9.91443 	Y6.12316 	Z1.94654
N225 	G01 	X10.48750 	Y6.12316 	Z1.94712
N226 	G01 	X11.06214 	Y6.12316 	Z1.94327
N227 	G01 	X11.63833 	Y6.12316 	Z1.93525
N228 	G01 	X12.21600 	Y6.12316 	Z1.92335
N229 	G01 	X12.79511 	Y6.12316 	Z1.90783
N230 	G01 	X13.37562 	Y6.12316 	Z1.88896
N231 	G01 	X13.95746 	Y6.12316 	Z1.86703
N232 	G01 	X14.54061 	Y6.12316 	Z1.84229
N233 	G01 	X15.12500 	Y6.12316 	Z1.81503
N234 	G01 	X15.71059 	Y6.12316 	Z1.78551
N235 	G01 	X16.29734 	Y6.12316 	Z1.75400
N236 	G01 	X16.88518 	Y6.12316 	Z1.72079
N237 	G01 	X17.47409 	Y6.12316 	Z1.68614
N238 	G01 	X18.06400 	Y6.12316 	Z1.65032
N239 	G01 	X18.65487 	Y6.12316 	Z1.61360
N240 	G01 	X19.24666 	Y6.12316 	Z1.57626
N241 	G01 	X19.83930 	Y6.12316 	Z1.53858
N242 	G01 	X20.43277 	Y6.12316 	Z1.50081
N243 	G01 	X21.02700 	Y6.12316 	Z1.46324
N244 	G01 	X21.62195 	Y6.12316 	Z1.42614
N245 	G01 	X22.21758 	Y6.12316 	Z1.38977
N246 	G01 	X22.81382 	Y6.12316 	Z1.35442
N247 	G01 	X23.41065 	Y6.12316 	Z1.32035
N248 	G01 	X24.00800 	Y6.12316 	Z1.28783
N249 	G01 	X24.60583 	Y6.12316 	Z1.25714
N250 	G01 	X25.20410 	Y6.12316 	Z1.22856
N251 	G01 	X25.80274 	Y6.12316 	Z1.20234
N252 	G01 	X26.40173 	Y6.12316 	Z1.17877
N253 	G01 	X27.00100 	Y6.12316 	Z1.15811
N254 	G01 	X27.60051 	Y6.12316 	Z1.14065
N255 	G01 	X28.20022 	Y6.12316 	Z1.12664
N256 	G01 	X28.80006 	Y6.12316 	Z1.11637
N257 	G01 	X29.40001 	Y6.12316 	Z1.11010
N258 	G01 	X30.00000 	Y6.12316 	Z1.10811

N259 	G01 	X30.00000 	Y6.40395 	Z1.13382
N260 	G01 	X29.40001 	Y6.40395 	Z1.13566
N261 	G01 	X28.80006 	Y6.40395 	Z1.14171
N262 	G01 	X28.20022 	Y6.40395 	Z1.15173
N263 	G01 	X27.60051 	Y6.40395 	Z1.16543
N264 	G01 	X27.00100 	Y6.40395 	Z1.18255
N265 	G01 	X26.40173 	Y6.40395 	Z1.20282
N266 	G01 	X25.80274 	Y6.40395 	Z1.22597
N267 	G01 	X25.20410 	Y6.40395 	Z1.25174
N268 	G01 	X24.60583 	Y6.40395 	Z1.27985
N269 	G01 	X24.00800 	Y6.40395 	Z1.31004
N270 	G01 	X23.41065 	Y6.40395 	Z1.34204
N271 	G01 	X22.81382 	Y6.40395 	Z1.37558
N272 	G01 	X22.21758 	Y6.40395 	Z1.41040
N273 	G01 	X21.62195 	Y6.40395 	Z1.44621
N274 	G01 	X21.02700 	Y6.40395 	Z1.48276
N275 	G01 	X20.43277 	Y6.40395 	Z1.51978
N276 	G01 	X19.83930 	Y6.40395 	Z1.55700
N277 	G01 	X19.24666 	Y6.40395 	Z1.59415
N278 	G01 	X18.65487 	Y6.40395 	Z1.63096
N279 	G01 	X18.06400 	Y6.40395 	Z1.66717
N280 	G01 	X17.47409 	Y6.40395 	Z1.70250
N281 	G01 	X16.88518 	Y6.40395 	Z1.73668
N282 	G01 	X16.29734 	Y6.40395 	Z1.76946
N283 	G01 	X15.71059 	Y6.40395 	Z1.80055
N284 	G01 	X15.12500 	Y6.40395 	Z1.82970
N285 	G01 	X14.54061 	Y6.40395 	Z1.85663
N286 	G01 	X13.95746 	Y6.40395 	Z1.88108
N287 	G01 	X13.37562 	Y6.40395 	Z1.90277
N288 	G01 	X12.79511 	Y6.40395 	Z1.92144
N289 	G01 	X12.21600 	Y6.40395 	Z1.93682
N290 	G01 	X11.63833 	Y6.40395 	Z1.94864
N291 	G01 	X11.06214 	Y6.40395 	Z1.95664
N292 	G01 	X10.48750 	Y6.40395 	Z1.96053
N293 	G01 	X9.91443 	Y6.40395 	Z1.96007
N294 	G01 	X9.34300 	Y6.40395 	Z1.95497
N295 	G01 	X8.77325 	Y6.40395 	Z1.94498
N296 	G01 	X8.20522 	Y6.40395 	Z1.92981
N297 	G01 	X7.63898 	Y6.40395 	Z1.90921
N298 	G01 	X7.07455 	Y6.40395 	Z1.88290
N299 	G01 	X6.51200 	Y6.40395 	Z1.85062
N300 	G01 	X5.95137 	Y6.40395 	Z1.81210
N301 	G01 	X5.39270 	Y6.40395 	Z1.76706
N302 	G01 	X4.83606 	Y6.40395 	Z1.71525
N303 	G01 	X4.28147 	Y6.40395 	Z1.65638
N304 	G01 	X3.72900 	Y6.40395 	Z1.59021
N305 	G01 	X3.17869 	Y6.40395 	Z1.51645
N306 	G01 	X2.63058 	Y6.40395 	Z1.43483
N307 	G01 	X2.08474 	Y6.40395 	Z1.34510
N308 	G01 	X1.54119 	Y6.40395 	Z1.24697
N309 	G01 	X1.00000 	Y6.40395 	Z1.14019

N310 	G01 	X1.00000 	Y6.68474 	Z1.16812
N311 	G01 	X1.54119 	Y6.68474 	Z1.27312
N312 	G01 	X2.08474 	Y6.68474 	Z1.36960
N313 	G01 	X2.63058 	Y6.68474 	Z1.45782
N314 	G01 	X3.17869 	Y6.68474 	Z1.53803
N315 	G01 	X3.72900 	Y6.68474 	Z1.61052
N316 	G01 	X4.28147 	Y6.68474 	Z1.67554
N317 	G01 	X4.83606 	Y6.68474 	Z1.73335
N318 	G01 	X5.39270 	Y6.68474 	Z1.78422
N319 	G01 	X5.95137 	Y6.68474 	Z1.82842
N320 	G01 	X6.51200 	Y6.68474 	Z1.86621
N321 	G01 	X7.07455 	Y6.68474 	Z1.89785
N322 	G01 	X7.63898 	Y6.68474 	Z1.92361
N323 	G01 	X8.20522 	Y6.68474 	Z1.94376
N324 	G01 	X8.77325 	Y6.68474 	Z1.95856
N325 	G01 	X9.34300 	Y6.68474 	Z1.96826
N326 	G01 	X9.91443 	Y6.68474 	Z1.97315
N327 	G01 	X10.48750 	Y6.68474 	Z1.97348
N328 	G01 	X11.06214 	Y6.68474 	Z1.96951
N329 	G01 	X11.63833 	Y6.68474 	Z1.96151
N330 	G01 	X12.21600 	Y6.68474 	Z1.94975
N331 	G01 	X12.79511 	Y6.68474 	Z1.93450
N332 	G01 	X13.37562 	Y6.68474 	Z1.91600
N333 	G01 	X13.95746 	Y6.68474 	Z1.89454
N334 	G01 	X14.54061 	Y6.68474 	Z1.87037
N335 	G01 	X15.12500 	Y6.68474 	Z1.84376
N336 	G01 	X15.71059 	Y6.68474 	Z1.81497
N337 	G01 	X16.29734 	Y6.68474 	Z1.78427
N338 	G01 	X16.88518 	Y6.68474 	Z1.75192
N339 	G01 	X17.47409 	Y6.68474 	Z1.71819
N340 	G01 	X18.06400 	Y6.68474 	Z1.68334
N341 	G01 	X18.65487 	Y6.68474 	Z1.64764
N342 	G01 	X19.24666 	Y6.68474 	Z1.61135
N343 	G01 	X19.83930 	Y6.68474 	Z1.57474
N344 	G01 	X20.43277 	Y6.68474 	Z1.53806
N345 	G01 	X21.02700 	Y6.68474 	Z1.50159
N346 	G01 	X21.62195 	Y6.68474 	Z1.46559
N347 	G01 	X22.21758 	Y6.68474 	Z1.43032
N348 	G01 	X22.81382 	Y6.68474 	Z1.39605
N349 	G01 	X23.41065 	Y6.68474 	Z1.36305
N350 	G01 	X24.00800 	Y6.68474 	Z1.33157
N351 	G01 	X24.60583 	Y6.68474 	Z1.30188
N352 	G01 	X25.20410 	Y6.68474 	Z1.27425
N353 	G01 	X25.80274 	Y6.68474 	Z1.24894
N354 	G01 	X26.40173 	Y6.68474 	Z1.22622
N355 	G01 	X27.00100 	Y6.68474 	Z1.20635
N356 	G01 	X27.60051 	Y6.68474 	Z1.18959
N357 	G01 	X28.20022 	Y6.68474 	Z1.17622
N358 	G01 	X28.80006 	Y6.68474 	Z1.16649
N359 	G01 	X29.40001 	Y6.68474 	Z1.16066
N360 	G01 	X30.00000 	Y6.68474 	Z1.15901

N361 	G01 	X30.00000 	Y6.96553 	Z1.18368
N362 	G01 	X29.40001 	Y6.96553 	Z1.18512
N363 	G01 	X28.80006 	Y6.96553 	Z1.19069
N364 	G01 	X28.20022 	Y6.96553 	Z1.20012
N365 	G01 	X27.60051 	Y6.96553 	Z1.21316
N366 	G01 	X27.00100 	Y6.96553 	Z1.22953
N367 	G01 	X26.40173 	Y6.96553 	Z1.24899
N368 	G01 	X25.80274 	Y6.96553 	Z1.27127
N369 	G01 	X25.20410 	Y6.96553 	Z1.29611
N370 	G01 	X24.60583 	Y6.96553 	Z1.32324
N371 	G01 	X24.00800 	Y6.96553 	Z1.35242
N372 	G01 	X23.41065 	Y6.96553 	Z1.38337
N373 	G01 	X22.81382 	Y6.96553 	Z1.41584
N374 	G01 	X22.21758 	Y6.96553 	Z1.44956
N375 	G01 	X21.62195 	Y6.96553 	Z1.48428
N376 	G01 	X21.02700 	Y6.96553 	Z1.51973
N377 	G01 	X20.43277 	Y6.96553 	Z1.55565
N378 	G01 	X19.83930 	Y6.96553 	Z1.59179
N379 	G01 	X19.24666 	Y6.96553 	Z1.62788
N380 	G01 	X18.65487 	Y6.96553 	Z1.66365
N381 	G01 	X18.06400 	Y6.96553 	Z1.69886
N382 	G01 	X17.47409 	Y6.96553 	Z1.73324
N383 	G01 	X16.88518 	Y6.96553 	Z1.76652
N384 	G01 	X16.29734 	Y6.96553 	Z1.79845
N385 	G01 	X15.71059 	Y6.96553 	Z1.82876
N386 	G01 	X15.12500 	Y6.96553 	Z1.85721
N387 	G01 	X14.54061 	Y6.96553 	Z1.88351
N388 	G01 	X13.95746 	Y6.96553 	Z1.90742
N389 	G01 	X13.37562 	Y6.96553 	Z1.92867
N390 	G01 	X12.79511 	Y6.96553 	Z1.94701
N391 	G01 	X12.21600 	Y6.96553 	Z1.96216
N392 	G01 	X11.63833 	Y6.96553 	Z1.97388
N393 	G01 	X11.06214 	Y6.96553 	Z1.98189
N394 	G01 	X10.48750 	Y6.96553 	Z1.98594
N395 	G01 	X9.91443 	Y6.96553 	Z1.98577
N396 	G01 	X9.34300 	Y6.96553 	Z1.98112
N397 	G01 	X8.77325 	Y6.96553 	Z1.97173
N398 	G01 	X8.20522 	Y6.96553 	Z1.95732
N399 	G01 	X7.63898 	Y6.96553 	Z1.93766
N400 	G01 	X7.07455 	Y6.96553 	Z1.91246
N401 	G01 	X6.51200 	Y6.96553 	Z1.88148
N402 	G01 	X5.95137 	Y6.96553 	Z1.84446
N403 	G01 	X5.39270 	Y6.96553 	Z1.80112
N404 	G01 	X4.83606 	Y6.96553 	Z1.75121
N405 	G01 	X4.28147 	Y6.96553 	Z1.69447
N406 	G01 	X3.72900 	Y6.96553 	Z1.63064
N407 	G01 	X3.17869 	Y6.96553 	Z1.55946
N408 	G01 	X2.63058 	Y6.96553 	Z1.48066
N409 	G01 	X2.08474 	Y6.96553 	Z1.39399
N410 	G01 	X1.54119 	Y6.96553 	Z1.29919
N411 	G01 	X1.00000 	Y6.96553 	Z1.19599

N412 	G01 	X1.00000 	Y7.24632 	Z1.22379
N413 	G01 	X1.54119 	Y7.24632 	Z1.32516
N414 	G01 	X2.08474 	Y7.24632 	Z1.41827
N415 	G01 	X2.63058 	Y7.24632 	Z1.50337
N416 	G01 	X3.17869 	Y7.24632 	Z1.58071
N417 	G01 	X3.72900 	Y7.24632 	Z1.65057
N418 	G01 	X4.28147 	Y7.24632 	Z1.71319
N419 	G01 	X4.83606 	Y7.24632 	Z1.76883
N420 	G01 	X5.39270 	Y7.24632 	Z1.81774
N421 	G01 	X5.95137 	Y7.24632 	Z1.86020
N422 	G01 	X6.51200 	Y7.24632 	Z1.89644
N423 	G01 	X7.07455 	Y7.24632 	Z1.92674
N424 	G01 	X7.63898 	Y7.24632 	Z1.95134
N425 	G01 	X8.20522 	Y7.24632 	Z1.97050
N426 	G01 	X8.77325 	Y7.24632 	Z1.98449
N427 	G01 	X9.34300 	Y7.24632 	Z1.99355
N428 	G01 	X9.91443 	Y7.24632 	Z1.99795
N429 	G01 	X10.48750 	Y7.24632 	Z1.99794
N430 	G01 	X11.06214 	Y7.24632 	Z1.99379
N431 	G01 	X11.63833 	Y7.24632 	Z1.98573
N432 	G01 	X12.21600 	Y7.24632 	Z1.97404
N433 	G01 	X12.79511 	Y7.24632 	Z1.95898
N434 	G01 	X13.37562 	Y7.24632 	Z1.94078
N435 	G01 	X13.95746 	Y7.24632 	Z1.91973
N436 	G01 	X14.54061 	Y7.24632 	Z1.89607
N437 	G01 	X15.12500 	Y7.24632 	Z1.87005
N438 	G01 	X15.71059 	Y7.24632 	Z1.84194
N439 	G01 	X16.29734 	Y7.24632 	Z1.81200
N440 	G01 	X16.88518 	Y7.24632 	Z1.78048
N441 	G01 	X17.47409 	Y7.24632 	Z1.74763
N442 	G01 	X18.06400 	Y7.24632 	Z1.71372
N443 	G01 	X18.65487 	Y7.24632 	Z1.67900
N444 	G01 	X19.24666 	Y7.24632 	Z1.64373
N445 	G01 	X19.83930 	Y7.24632 	Z1.60817
N446 	G01 	X20.43277 	Y7.24632 	Z1.57257
N447 	G01 	X21.02700 	Y7.24632 	Z1.53719
N448 	G01 	X21.62195 	Y7.24632 	Z1.50229
N449 	G01 	X22.21758 	Y7.24632 	Z1.46812
N450 	G01 	X22.81382 	Y7.24632 	Z1.43495
N451 	G01 	X23.41065 	Y7.24632 	Z1.40302
N452 	G01 	X24.00800 	Y7.24632 	Z1.37260
N453 	G01 	X24.60583 	Y7.24632 	Z1.34395
N454 	G01 	X25.20410 	Y7.24632 	Z1.31731
